Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
638506549ed3b3545622e6c5,62b0576692285098026bde17,APPROVED,2022-11-28T19:04:56.043000Z,2022-11-28T19:08:16.541000Z,2022-11-30T07:44:47.418000,2022-11-28T19:08:17.053864Z,201,C106RT3Q,114,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63850657abf1c323783101c6,5a94779df05361000171b4fe,APPROVED,2022-11-28T19:04:55.338000Z,2022-11-28T19:08:37.829000Z,2022-11-30T07:44:47.523000,2022-11-28T19:08:38.195361Z,223,C106RT3Q,905,English,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638506788e6c12ec6026a0bf,5ce297b13f806000190a0ab8,APPROVED,2022-11-28T19:05:31.996000Z,2022-11-28T19:08:24.073000Z,2022-11-30T07:44:47.625000,2022-11-28T19:08:24.485663Z,173,C106RT3Q,380,English,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6385067a3d45d24d0fcd7c8c,60b8063c157b65be3eb7c88e,APPROVED,2022-11-28T19:05:33.323000Z,2022-11-28T19:09:35.639000Z,2022-11-30T07:44:47.731000,2022-11-28T19:09:36.251445Z,243,C106RT3Q,298,"German, English",37,Female,White,Germany,United Kingdom,Germany,German,No,Full-Time
6385068aa346de0218aa11ad,5f81bdb0b927a20852c139ba,APPROVED,2022-11-28T19:05:49.322000Z,2022-11-28T19:09:23.172000Z,2022-11-30T07:44:47.831000,2022-11-28T19:09:24.773300Z,214,C106RT3Q,200,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638506a3cc85050d5f96c308,6159dfbdd9d4b9b1e8957fc0,APPROVED,2022-11-28T19:06:15.685000Z,2022-11-28T19:12:15.099000Z,2022-11-30T07:44:47.946000,2022-11-28T19:12:15.509572Z,360,C106RT3Q,86,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638506a6d91a8ab62c942b76,5a90460d1eda41000135f918,APPROVED,2022-11-28T19:06:20.073000Z,2022-11-28T19:30:31.719000Z,2022-11-30T07:44:48.050000,2022-11-28T19:30:32.292498Z,1452,C106RT3Q,558,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638506c487274feeaead058b,5ad78141b24ddb0001744a34,APPROVED,2022-11-28T19:06:47.992000Z,2022-11-28T19:11:23.073000Z,2022-11-30T07:44:48.152000,2022-11-28T19:11:23.548725Z,276,C106RT3Q,211,English,37,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638506c7f11512435d154604,63701996991a7caadf0d5659,APPROVED,2022-11-28T19:06:54.574000Z,2022-11-28T19:12:35.217000Z,2022-11-30T07:44:48.259000,2022-11-28T19:12:35.549912Z,341,C106RT3Q,3,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
638506d6b35ad197a536f7f7,6159b15e03387d2cca9b73fc,APPROVED,2022-11-28T19:07:07.635000Z,2022-11-28T19:10:32.128000Z,2022-11-30T07:44:48.359000,2022-11-28T19:10:33.475687Z,205,C106RT3Q,258,"English, Welsh",25,Female,White,United Kingdom,United Kingdom,United Kingdom,Welsh,DATA_EXPIRED,DATA_EXPIRED
638506f88ce7900ceb36f836,5d8b7890c7a3d2001371508f,APPROVED,2022-11-28T19:07:41.070000Z,2022-11-28T19:16:15.265000Z,2022-11-30T07:44:48.464000,2022-11-28T19:16:16.527997Z,515,C106RT3Q,206,English,27,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638506fbc05d9b6cfb2db10f,62742f92f35856fa9619ff2d,APPROVED,2022-11-28T19:07:42.618000Z,2022-11-28T19:11:28.145000Z,2022-11-30T07:44:48.573000,2022-11-28T19:11:29.250278Z,226,C106RT3Q,38,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
638506fc1c9febbf033f51c6,612a7980b928fb698777726f,APPROVED,2022-11-28T19:07:44.232000Z,2022-11-28T19:11:35.399000Z,2022-11-30T07:44:48.677000,2022-11-28T19:11:35.981584Z,232,C106RT3Q,719,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63850702630e3b756b15461c,5c980d0ecff9b20016cae76f,APPROVED,2022-11-28T19:07:46.608000Z,2022-11-28T19:14:51.819000Z,2022-11-30T07:44:48.785000,2022-11-28T19:14:52.311070Z,426,C106RT3Q,1262,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63850702836b346d53dded78,5ccf3006f131fb001706edbb,REJECTED,2022-11-28T19:07:52.261000Z,2022-11-28T19:09:52.532000Z,2022-11-30T07:43:59.587000Z,2022-11-28T19:09:53.938000Z,121,C106RT3Q,572,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
638507042e818a6b57595172,5c7b01b892edb30017dc1202,APPROVED,2022-11-28T19:07:55.749000Z,2022-11-28T19:14:14.889000Z,2022-11-30T07:44:48.885000,2022-11-28T19:14:15.305487Z,380,C106RT3Q,631,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6385070648b1540a9f11033e,5de83e5748241d7af1b6c348,APPROVED,2022-11-28T19:07:53.598000Z,2022-11-28T19:10:27.501000Z,2022-11-30T07:44:48.989000,2022-11-28T19:10:28.170007Z,154,C106RT3Q,767,"Chinese, English",29,Male,Asian,Hong Kong,United Kingdom,United Kingdom,English,No,Full-Time
63850709ef68697b90942b50,60a5498dc9d79d6c7e6cae62,APPROVED,2022-11-28T19:07:56.989000Z,2022-11-28T19:10:03.143000Z,2022-11-30T07:44:49.091000,2022-11-28T19:10:03.622983Z,127,C106RT3Q,332,English,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
63850715e6d9df73fe59516d,5e9035cae502b1328adcf15a,APPROVED,2022-11-28T19:08:07.349000Z,2022-11-28T19:13:41.136000Z,2022-11-30T07:44:49.193000,2022-11-28T19:13:42.363163Z,334,C106RT3Q,611,"Arabic, English",27,Male,Other,Egypt,United Kingdom,United Kingdom,Arabic,Yes,Full-Time
63850716846c8fc07059d714,601ee379d2fd7d3a14157f96,APPROVED,2022-11-28T19:08:09.852000Z,2022-11-28T19:17:14.996000Z,2022-11-30T07:44:49.299000,2022-11-28T19:17:15.438712Z,546,C106RT3Q,67,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6385071bd7381b5e1a6d5215,5cd043b25b04850017e5d028,APPROVED,2022-11-28T19:08:15.356000Z,2022-11-28T19:11:07.069000Z,2022-11-30T07:44:49.411000,2022-11-28T19:11:07.489577Z,172,C106RT3Q,710,English,56,Female,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
638507223cab1fdf65600fc5,5ad20ccab438910001ac9b03,APPROVED,2022-11-28T19:08:20.816000Z,2022-11-28T19:11:51.524000Z,2022-11-30T07:44:49.517000,2022-11-28T19:11:51.917713Z,211,C106RT3Q,573,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63850750f40e465dd99181d2,60ddb84386eb83559f02534c,APPROVED,2022-11-28T19:09:05.974000Z,2022-11-28T19:12:37.986000Z,2022-11-30T07:44:49.620000,2022-11-28T19:12:38.329891Z,213,C106RT3Q,150,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
638507523483e494289a016b,60e4e4d0d710a68effb5a1de,APPROVED,2022-11-28T19:09:09.553000Z,2022-11-28T19:12:03.986000Z,2022-11-30T07:44:49.723000,2022-11-28T19:12:04.422401Z,175,C106RT3Q,81,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
63850755c02556d28836f833,5eef2045e4dd3e3e7a332e6a,APPROVED,2022-11-28T19:09:11.390000Z,2022-11-28T19:14:42.650000Z,2022-11-30T07:44:49.826000,2022-11-28T19:14:43.022813Z,332,C106RT3Q,6,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6385075b19ac42fe114f68a4,5d1b7ca2ebfae6001a9e4401,APPROVED,2022-11-28T19:09:26.749000Z,2022-11-28T19:15:19.787000Z,2022-11-30T07:44:49.928000,2022-11-28T19:15:21.007342Z,354,C106RT3Q,1056,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
